publication_day,effective_label,vacancy_count
2026-06-30,relevant,2
2026-07-01,relevant,18
2026-07-02,relevant,17
2026-07-03,relevant,23
2026-07-04,relevant,3
2026-07-05,relevant,6
2026-07-06,relevant,26
2026-07-07,relevant,32
2026-07-08,relevant,24
2026-07-09,relevant,39
2026-07-10,relevant,39
2026-07-11,relevant,2
2026-07-12,relevant,2
2026-07-13,relevant,30
2026-07-14,relevant,39
2026-07-15,relevant,35
2026-07-16,relevant,16
2026-07-17,relevant,35
2026-07-18,relevant,1
2026-07-19,relevant,1
2026-07-20,relevant,48
2026-07-21,relevant,35
2026-07-22,relevant,42
2026-07-23,relevant,38
2026-07-24,relevant,68
2026-07-25,relevant,6
2026-07-26,relevant,4
2026-07-27,relevant,76
2026-07-28,relevant,95
2026-07-29,relevant,89
2026-07-30,relevant,108
